evidence_group,case_id,profile,role,horizon_steps,moving_average_window_steps,startup_cost_g_per_start,shutdown_cost_g_per_shutdown,soft_soc_penalty_g_per_kwh,min_up_time_steps,terminal_reserve,oracle_realized_future_load,rolling_fuel_kg,fuel_delta_vs_full_pct,rolling_starts,full_starts,minimum_soc_pct,maximum_soc_pct,final_soc_pct,realized_low_soc_slack_kwh,realized_high_soc_slack_kwh,minimum_length_runs,p95_local_solve_time_s,nonoptimal_timeout_infeasible_local_solve_count,recommendation_use,evidence_path,run_dir
oracle_screen,soft_h24_soc20_p1000_c1000,3day_operational,diagnostic_oracle_upper_bound,24,4,1000.0,0.0,1000.0,,false,true,707.3225121391517,5.3513922031867995,13,4,19.999999999999865,78.77225853863122,34.791713325867846,0.0,0.0,,2.004362869262694,0,appendix_or_diagnostic_only,analysis/output/rolling_horizon/oracle_operational_tuning_screen/assessment.md,runs/2026-04-27_171037_oracle_operational_screen_soft_h24_soc20_p1000_c1000
frozen_contenders,balanced_h16_ma4_c500_p10k_minup6,3day_operational,main_fuel_efficient_baseline,16,4,500.0,0.0,10000.0,6,false,false,688.4362885457219,2.5384039059373706,5,4,20.089623460257766,,27.438710106391483,0.0,0.0,1,1.5180899620056145,0,recommended_main_baseline,analysis/output/rolling_horizon/frozen_contenders/README.md,runs/2026-04-29_170441_rolling_horizon_thesis_balanced_h16_ma4_c500_p10k_minup6
frozen_contenders,conservative_h24_ma4_c500_p20k_minup6,3day_operational,conservative_operator_comparison,24,4,500.0,0.0,20000.0,6,false,false,717.7074875190523,6.898171212043093,5,4,23.230193169092928,,43.59598771696525,0.0,0.0,,3.5351153850555415,0,optional_operator_comparison,analysis/output/rolling_horizon/frozen_contenders/README.md,runs/2026-04-29_172100_rolling_horizon_thesis_conservative_h24_ma4_c500_p20k_minup6
combined_baseline_assessment,h12_startup500_softsoc10000_minup6,3day_operational,h12_prediction_horizon_candidate,12,4,500.0,0.0,10000.0,6,false,false,700.96839777424,4.404985460755816,6,4,20.290103583437705,60.0,33.52591615341537,0.0,0.0,2,0.8328494548797605,0,viable_but_not_best_operational_baseline,analysis/output/rolling_horizon/combined_baseline_assessment/assessment.md,runs/2026-04-29_102849_rolling_horizon_h12_startup500_softsoc10000_minup6
combined_baseline_assessment,h12_startup1000_softsoc10000_minup6,3day_operational,h12_and_startup1000_candidate,12,4,1000.0,0.0,10000.0,6,false,false,713.4833876582128,6.26901719317995,7,4,22.098030515117543,60.0,38.71567784154536,0.0,0.0,4,0.8371629714965818,0,tested_not_preferred,analysis/output/rolling_horizon/combined_baseline_assessment/assessment.md,runs/2026-04-29_103223_rolling_horizon_h12_startup1000_softsoc10000_minup6
combined_baseline_assessment,h16_startup1000_softsoc10000_minup6,3day_operational,startup1000_candidate,16,4,1000.0,0.0,10000.0,6,false,false,713.144370824842,6.218522694895267,5,4,20.167693169101284,61.902995520716665,40.145945898656194,0.0,0.0,1,0.9951783180236816,0,tested_not_preferred_over_c500_or_minup8,analysis/output/rolling_horizon/combined_baseline_assessment/assessment.md,runs/2026-04-29_104628_rolling_horizon_h16_startup1000_softsoc10000_minup6
six_day_validation,balanced_6day_h16_ma4_c500_p10k_minup6,6day_operational,main_baseline_robustness,16,4,500.0,0.0,10000.0,6,false,false,1630.0517303614477,2.376675415716552,16,11,20.374791510404854,66.35223100678888,33.714651346165695,0.0,0.0,13,2.0682551741600035,0,supports_main_baseline,analysis/output/rolling_horizon/frozen_contenders_6day/assessment.md,runs/2026-04-30_100448_rolling_horizon_thesis_balanced_6day_h16_ma4_c500_p10k_minup6
six_day_validation,conservative_6day_h24_ma4_c500_p20k_minup6,6day_operational,conservative_robustness,24,4,500.0,0.0,20000.0,6,false,false,1657.8028096574585,4.119603682719177,16,11,20.450850430388282,,48.90245950041535,0.0,0.0,12,4.442626166343688,0,does_not_displace_main_baseline,analysis/output/rolling_horizon/frozen_contenders_6day/assessment.md,runs/2026-04-30_105222_rolling_horizon_thesis_conservative_6day_h24_ma4_c500_p20k_minup6
min_up_6day,minup8,6day_operational,guardrail_candidate,16,4,500.0,0.0,10000.0,8,false,false,1628.6200723341526,2.2867590121836487,13,11,20.017656716615527,60.0,34.53531728256754,0.0,0.0,10,1.4071635007858267,0,strong_guardrail_candidate,analysis/output/rolling_horizon/min_up_6day_sensitivity/assessment.md,runs/2026-04-30_115840_rolling_horizon_balanced_6day_h16_ma4_c500_p10k_minup8
min_up_6day,minup12,6day_operational,low_cycling_candidate,16,4,500.0,0.0,10000.0,12,false,false,1654.34768032311,3.9026015791703026,10,11,20.243220781986356,70.0114795912649,46.72310257558748,0.0,0.0,7,0.72047621011734,0,optional_low_cycling_comparison,analysis/output/rolling_horizon/min_up_6day_sensitivity/assessment.md,runs/2026-04-30_123235_rolling_horizon_balanced_6day_h16_ma4_c500_p10k_minup12
min_up_6day,minup16,6day_operational,overconstrained_case,16,4,500.0,0.0,10000.0,16,false,false,1730.1701148140205,8.664688953774133,9,11,16.90683638194028,86.92338366461365,81.94941334397099,160.71186851331672,502.1646090911912,7,0.634264135360717,0,reject,analysis/output/rolling_horizon/min_up_6day_sensitivity/assessment.md,runs/2026-04-30_132720_rolling_horizon_balanced_6day_h16_ma4_c500_p10k_minup16
min_up_3day,minup8,3day_operational,guardrail_candidate_caveat,16,4,500.0,0.0,10000.0,8,false,false,706.6122780363673,5.245607147240795,6,4,22.114727743561012,60.0,35.623973964163724,0.0,0.0,2,1.831672811508178,0,caveat_against_replacing_main_baseline,analysis/output/rolling_horizon/min_up_3day_sensitivity/assessment.md,runs/2026-04-30_133906_rolling_horizon_balanced_3day_h16_ma4_c500_p10k_minup8
min_up_3day,minup12,3day_operational,low_cycling_candidate_caveat,16,4,500.0,0.0,10000.0,12,false,false,733.1243317766513,9.194416528773864,5,4,20.796262597986384,75.36709126538828,47.410083287567396,0.0,0.0,2,1.1711575984954832,0,caveat_against_main_baseline,analysis/output/rolling_horizon/min_up_3day_sensitivity/assessment.md,runs/2026-04-30_134202_rolling_horizon_balanced_3day_h16_ma4_c500_p10k_minup12
min_up_synthetic,balanced_synthetic_h16_ma4_c500_p10k_minup6,synthetic,main_baseline_synthetic_check,16,4,500.0,0.0,10000.0,6,false,false,858.1344547491622,6.440959273588677,6,4,38.55154675251921,70.0,45.88102953527405,0.0,0.0,2,1.1055594086647034,0,shows_minup6_weakness_on_synthetic,analysis/output/rolling_horizon/min_up_synthetic/assessment.md,runs/2026-04-30_135109_rolling_horizon_balanced_synthetic_h16_ma4_c500_p10k_minup6
min_up_synthetic,balanced_synthetic_h16_ma4_c500_p10k_minup8,synthetic,guardrail_candidate_synthetic_check,16,4,500.0,0.0,10000.0,8,false,false,816.6166648023335,1.291191233856997,4,4,20.0,70.0,23.086236702127657,0.0,0.0,0,1.0828662514686584,0,supports_minup8_guardrail_variant,analysis/output/rolling_horizon/min_up_synthetic/assessment.md,runs/2026-04-30_140817_rolling_horizon_balanced_synthetic_h16_ma4_c500_p10k_minup8
