terminal_soc_target,terminal_soc_target_pct,c_term_g_per_kwh,config_path,run_dir
0.2,20.0,350.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\operational_reserve_tuning\generated_configs\rolling_term_20pct_cterm_350.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-25_165354_rolling_horizon_operational_cstart_1000g_term_20pct_cterm_350
0.2,20.0,600.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\operational_reserve_tuning\generated_configs\rolling_term_20pct_cterm_600.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-25_165800_rolling_horizon_operational_cstart_1000g_term_20pct_cterm_600
0.2,20.0,1000.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\operational_reserve_tuning\generated_configs\rolling_term_20pct_cterm_1000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-25_170324_rolling_horizon_operational_cstart_1000g_term_20pct_cterm_1000
0.2,20.0,1500.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\operational_reserve_tuning\generated_configs\rolling_term_20pct_cterm_1500.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-25_170814_rolling_horizon_operational_cstart_1000g_term_20pct_cterm_1500
0.3,30.0,350.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\operational_reserve_tuning\generated_configs\rolling_term_30pct_cterm_350.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-25_171104_rolling_horizon_operational_cstart_1000g_term_30pct_cterm_350
0.3,30.0,600.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\operational_reserve_tuning\generated_configs\rolling_term_30pct_cterm_600.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-25_171317_rolling_horizon_operational_cstart_1000g_term_30pct_cterm_600
0.3,30.0,1000.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\operational_reserve_tuning\generated_configs\rolling_term_30pct_cterm_1000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-25_171550_rolling_horizon_operational_cstart_1000g_term_30pct_cterm_1000
0.3,30.0,1500.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\operational_reserve_tuning\generated_configs\rolling_term_30pct_cterm_1500.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-25_171928_rolling_horizon_operational_cstart_1000g_term_30pct_cterm_1500
0.4,40.0,350.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\operational_reserve_tuning\generated_configs\rolling_term_40pct_cterm_350.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-25_160234_rolling_horizon_operational_cstart_1000g_term_40pct_cterm_350
0.4,40.0,600.0,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\operational_reserve_tuning\generated_configs\rolling_term_40pct_cterm_600.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-25_160450_rolling_horizon_operational_cstart_1000g_term_40pct_cterm_600
