case_id,strategy,horizon_steps,startup_cost_g,preferred_soc_min,soft_soc_penalty_g_per_kwh,terminal_soc_target,terminal_slack_penalty_g_per_kwh,rolling_fuel_kg,rolling_starts,rolling_min_soc_pct,rolling_final_soc_pct,fuel_delta_vs_full_kg,fuel_delta_vs_full_pct,starts_delta_vs_full,full_fuel_kg,full_starts,median_solve_s,p95_solve_s,max_solve_s,nonoptimal_solves,tail_padded_solves,wall_clock_s,config_path,run_dir,realized_low_soc_slack_kwh,local_low_soc_slack_kwh,terminal_slack_kwh
soft_h24_soc20_p1000_c1000,soft_band,24,1000.0,0.2,1000.0,,,707.3225121391517,13,19.999999999999865,34.791713325867846,35.92890513776673,5.3513922031867995,9,671.3936070013849,4,0.3755772113800049,2.004362869262694,3.457167863845825,0,23,247.48892419999902,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\oracle_operational_tuning_screen\generated_configs\soft_h24_soc20_p1000_c1000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-27_171037_oracle_operational_screen_soft_h24_soc20_p1000_c1000,1.3073986337985843e-12,46.595901307853765,
soft_h48_soc20_p1000_c1000,soft_band,48,1000.0,0.2,1000.0,,,732.613217822953,8,22.68586016238171,51.69652855543113,61.21961082156794,9.118289209662024,4,671.3936070013849,4,0.9214582443237305,5.683181381225586,12.616590976715088,0,47,505.8688070999997,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\oracle_operational_tuning_screen\generated_configs\soft_h48_soc20_p1000_c1000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-27_171900_oracle_operational_screen_soft_h48_soc20_p1000_c1000,0.0,18.899999997002155,
soft_h72_soc20_p1000_c1000,soft_band,72,1000.0,0.2,1000.0,,,762.8995555030648,4,19.999999999999925,69.30571108633264,91.50594850167981,13.629255260616603,0,671.3936070013849,4,0.7903821468353271,2.7022254943847646,4.868233919143677,0,71,353.9433785000001,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\oracle_operational_tuning_screen\generated_configs\soft_h72_soc20_p1000_c1000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-27_172454_oracle_operational_screen_soft_h72_soc20_p1000_c1000,7.389644451905042e-13,6.621052630578287,
soft_h24_soc30_p1000_c1000,soft_band,24,1000.0,0.3,1000.0,,,721.2587379334958,11,29.999999999979266,44.087346024635984,49.86513093211083,7.427108392470583,7,671.3936070013849,4,0.8908329010009766,3.5752165794372557,5.125174045562744,0,23,374.90562169999976,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\oracle_operational_tuning_screen\generated_configs\soft_h24_soc30_p1000_c1000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-27_173106_oracle_operational_screen_soft_h24_soc30_p1000_c1000,1.9491608327371068e-10,45.93903945619263,
soft_h24_soc40_p1000_c1000,soft_band,24,1000.0,0.4,1000.0,,,738.400578986938,14,39.999999999957254,54.79171332586786,67.00697198555304,9.980281505035961,10,671.3936070013849,4,0.5715410709381104,2.767031335830688,4.951203107833862,0,23,298.89811479999844,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\oracle_operational_tuning_screen\generated_configs\soft_h24_soc40_p1000_c1000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-27_173609_oracle_operational_screen_soft_h24_soc40_p1000_c1000,4.0182612792705186e-10,68.75771046231242,
soft_h24_soc20_p1000_c2500,soft_band,24,2500.0,0.2,1000.0,,,712.7727666530875,14,20.335354143336993,35.236282194848364,41.3791596517025,6.163174510480132,10,671.3936070013849,4,0.5786080360412598,2.6572907924652074,6.503987789154053,0,23,269.4961638999994,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\oracle_operational_tuning_screen\generated_configs\soft_h24_soc20_p1000_c2500.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-27_174034_oracle_operational_screen_soft_h24_soc20_p1000_c2500,0.0,81.96557231470831,
soft_h24_soc20_p1000_c5000,soft_band,24,5000.0,0.2,1000.0,,,715.2040033406786,14,19.999999999999215,35.174402995520694,43.81039633929369,6.525292448786053,10,671.3936070013849,4,0.653296947479248,2.4817826271057113,6.956846714019775,0,23,265.4715612,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\oracle_operational_tuning_screen\generated_configs\soft_h24_soc20_p1000_c5000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-27_174505_oracle_operational_screen_soft_h24_soc20_p1000_c5000,7.361222742474638e-12,122.35084848504736,
soft_h24_soc20_p350_c1000,soft_band,24,1000.0,0.2,350.0,,,701.6221802482381,12,19.999999999999986,34.79171332586786,30.228573246853195,4.502362389457611,8,671.3936070013849,4,0.3167111873626709,1.940117311477659,3.9693968296051025,0,23,193.17037340000024,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\oracle_operational_tuning_screen\generated_configs\soft_h24_soc20_p350_c1000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-27_174818_oracle_operational_screen_soft_h24_soc20_p350_c1000,1.4210854715202004e-13,214.01835507826095,
soft_h24_soc20_p1500_c1000,soft_band,24,1000.0,0.2,1500.0,,,716.618919740331,12,20.0,39.74065929451208,45.22531273894606,6.736035652906175,8,671.3936070013849,4,0.45032382011413574,2.0354420661926254,2.4312267303466797,0,23,201.63774249999915,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\oracle_operational_tuning_screen\generated_configs\soft_h24_soc20_p1500_c1000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-27_175139_oracle_operational_screen_soft_h24_soc20_p1500_c1000,2.842170943040401e-14,36.16615130861255,
term_h24_t20_p350_c1000,terminal_reserve,24,1000.0,,,0.2,350.0,709.8202819781771,10,20.0,39.74065929451282,38.426674976792185,5.723419850304431,6,671.3936070013849,4,0.2222118377685547,2.614892768859855,6.275444030761719,0,23,201.23112839999885,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\oracle_operational_tuning_screen\generated_configs\term_h24_t20_p350_c1000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-27_175459_oracle_operational_screen_term_h24_t20_p350_c1000,,,0.0
