startup_cost_g_per_start,config_path,run_dir,objective_value,total_fuel_kg,total_starts,total_stops,time_two_gensets_online_h,share_two_gensets_online_pct,total_online_genset_hours,min_soc_pct,terminal_soc_pct,terminal_reference_soc_pct,configured_soc_min_pct,battery_throughput_kwh,solve_time_s,wall_clock_runtime_s,warning
500,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_new_baseline_startupcost1000g\startup_cost\generated_configs\startup_cost_500g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_134449_baseline_model_no_terminal_soc_cstart_1000g_cstart_500g,808206.9908102491,806.2069908102501,4,3,0.75,3.125,17.75,20.0,20.0,50.0,20.0,1061.30262475,1.4256129264831543,16.14907710000989,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
550,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_new_baseline_startupcost1000g\startup_cost\generated_configs\startup_cost_550g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_134504_baseline_model_no_terminal_soc_cstart_1000g_cstart_550g,808406.9908102487,806.2069908102501,4,3,0.75,3.125,17.75,20.0,20.0,50.0,20.0,1061.30262475,1.3883702754974365,15.677977099985583,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
600,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_new_baseline_startupcost1000g\startup_cost\generated_configs\startup_cost_600g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_134520_baseline_model_no_terminal_soc_cstart_1000g_cstart_600g,808606.9908102492,806.2069908102501,4,3,0.75,3.125,17.75,20.0,20.0,50.0,20.0,1061.30262475,1.5602259635925293,16.26074480000534,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
650,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_new_baseline_startupcost1000g\startup_cost\generated_configs\startup_cost_650g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_134537_baseline_model_no_terminal_soc_cstart_1000g_cstart_650g,808806.9908102491,806.2069908102501,4,3,0.75,3.125,17.75,20.0,20.0,50.0,20.0,1061.30262475,1.5191690921783447,16.706498199986527,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
700,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_new_baseline_startupcost1000g\startup_cost\generated_configs\startup_cost_700g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_134553_baseline_model_no_terminal_soc_cstart_1000g_cstart_700g,809006.9908102191,806.2069908102501,4,3,0.75,3.125,17.75,20.0,20.0,50.0,20.0,1061.30262475,1.650062084197998,16.434220299997833,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
750,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_new_baseline_startupcost1000g\startup_cost\generated_configs\startup_cost_750g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_155707_baseline_model_no_terminal_soc_cstart_1000g_cstart_750g,809206.9908102485,806.2069908102501,4,3,0.75,3.125,17.75,20.0,20.0,50.0,20.0,1061.30262475,0.8094689846038818,13.8814339999808,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
800,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_new_baseline_startupcost1000g\startup_cost\generated_configs\startup_cost_800g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_155724_baseline_model_no_terminal_soc_cstart_1000g_cstart_800g,809406.9908094464,806.20699080925,4,3,0.75,3.125,17.75,20.0,20.0,50.0,20.0,1061.30262475,3.562830924987793,17.442827599996235,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
850,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_new_baseline_startupcost1000g\startup_cost\generated_configs\startup_cost_850g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_155740_baseline_model_no_terminal_soc_cstart_1000g_cstart_850g,809527.8881437497,807.82788814375,2,1,0.5,2.083333333333333,18.0,20.0,20.0,50.0,20.0,1203.91854375,2.215075969696045,15.775552300008712,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
900,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_new_baseline_startupcost1000g\startup_cost\generated_configs\startup_cost_900g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_155240_baseline_model_no_terminal_soc_cstart_1000g_cstart_900g,809627.8881437492,807.82788814375,2,1,0.5,2.083333333333333,18.0,20.0,20.0,50.0,20.0,1203.91854375,1.0316927433013916,44.54832600001828,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
1000,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_new_baseline_startupcost1000g\startup_cost\generated_configs\startup_cost_1000g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_134609_baseline_model_no_terminal_soc_cstart_1000g_cstart_1000g,809827.8881437499,807.82788814375,2,1,0.5,2.083333333333333,18.0,20.0,20.0,50.0,20.0,1203.91854375,1.0943200588226318,15.76350870000897,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
1100,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_new_baseline_startupcost1000g\startup_cost\generated_configs\startup_cost_1100g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-23_155255_baseline_model_no_terminal_soc_cstart_1000g_cstart_1100g,810027.8881437499,807.82788814375,2,1,0.5,2.083333333333333,18.0,20.0,20.0,50.0,20.0,1203.91854375,0.8224892616271973,14.112053399992874,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
