startup_cost_g_per_start,config_path,run_dir,objective_value,total_fuel_kg,total_starts,total_stops,time_two_gensets_online_h,share_two_gensets_online_pct,total_online_genset_hours,min_soc_pct,terminal_soc_pct,terminal_reference_soc_pct,configured_soc_min_pct,battery_throughput_kwh,solve_time_s,wall_clock_runtime_s,warning
500,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_operational_startup1000g\startup_cost\generated_configs\startup_cost_500g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-05-04_135948_operational_model_soc60_no_terminal_cstart_1000g_sensitivity_cstart_500g,673393.6070013851,671.3936070015,4,4,0.0,0.0,16.25,20.0,20.000000039193726,50.0,20.0,1962.4356925,3.322030782699585,26.86408410000149,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
550,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_operational_startup1000g\startup_cost\generated_configs\startup_cost_550g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-05-04_140015_operational_model_soc60_no_terminal_cstart_1000g_sensitivity_cstart_550g,673593.6070013848,671.3936070012501,4,4,0.0,0.0,16.25,20.0,20.000000039193726,50.0,20.0,1962.4356925,3.5663511753082275,27.07923109998228,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
600,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_operational_startup1000g\startup_cost\generated_configs\startup_cost_600g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-05-04_140042_operational_model_soc60_no_terminal_cstart_1000g_sensitivity_cstart_600g,673793.607001385,671.3936070015,4,4,0.0,0.0,16.25,20.0,20.000000039193726,50.0,20.0,1962.4356925,2.6461262702941895,27.351621200039517,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
650,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_operational_startup1000g\startup_cost\generated_configs\startup_cost_650g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-05-04_140111_operational_model_soc60_no_terminal_cstart_1000g_sensitivity_cstart_650g,673993.6070013851,671.3936070015,4,4,0.0,0.0,16.25,20.0,20.000000039193726,50.0,20.0,1962.4356925,2.7647218704223633,28.393829599954188,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
700,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_operational_startup1000g\startup_cost\generated_configs\startup_cost_700g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-05-04_140138_operational_model_soc60_no_terminal_cstart_1000g_sensitivity_cstart_700g,674193.607001385,671.3936070012501,4,4,0.0,0.0,16.25,20.0,20.000000039193726,50.0,20.0,1962.4356925,3.4172890186309814,26.7074081999599,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
750,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_operational_startup1000g\startup_cost\generated_configs\startup_cost_750g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-05-04_141003_operational_model_soc60_no_terminal_cstart_1000g_sensitivity_cstart_750g,674393.6070013851,671.3936070012501,4,4,0.0,0.0,16.25,20.0,20.000000039193726,50.0,20.0,1962.4356925,3.5655808448791504,30.120367700001225,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
800,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_operational_startup1000g\startup_cost\generated_configs\startup_cost_800g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-05-04_141042_operational_model_soc60_no_terminal_cstart_1000g_sensitivity_cstart_800g,674593.607001385,671.3936070015,4,4,0.0,0.0,16.25,20.0,20.000000039193726,50.0,20.0,1962.4356925,4.040571212768555,40.000747599988244,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
850,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_operational_startup1000g\startup_cost\generated_configs\startup_cost_850g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-05-04_141115_operational_model_soc60_no_terminal_cstart_1000g_sensitivity_cstart_850g,674793.607001385,671.3936070015,4,4,0.0,0.0,16.25,20.0,20.000000039193726,50.0,20.0,1962.4356925,3.802180051803589,33.761726500000805,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
900,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_operational_startup1000g\startup_cost\generated_configs\startup_cost_900g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-05-04_141153_operational_model_soc60_no_terminal_cstart_1000g_sensitivity_cstart_900g,674993.607001385,671.3936070015,4,4,0.0,0.0,16.25,20.0,20.000000039193726,50.0,20.0,1962.4356925,4.257200241088867,34.26190300000599,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
1000,C:\Users\bulve\OneDrive\master\model\analysis\output\sensitivity_operational_startup1000g\startup_cost\generated_configs\startup_cost_1000g.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-05-04_140203_operational_model_soc60_no_terminal_cstart_1000g_sensitivity_cstart_1000g,675393.607001385,671.3936070015,4,4,0.0,0.0,16.25,20.0,20.000000039193726,50.0,20.0,1962.4356925,2.7049560546875,25.867197699961253,ends 30.0 pp below the old terminal reserve; hits the configured minimum SOC
