load_bin,n,gens,load_pct_median,power_kw_median,fuel_gph_median,sfoc_gkwh_median,supported,regime,regime_label
"[40, 50)",362,2,49.5,190.575,40030.2,211.3327578482847,True,ge1600,~1800 rpm
"[50, 60)",747,2,51.5,198.275,42008.4,210.88111888111888,True,ge1600,~1800 rpm
"[60, 70)",176,2,65.5,252.175,53915.4,214.19026642126545,True,ge1600,~1800 rpm
"[70, 80)",452,2,75.5,290.675,63462.0,218.5008653169944,True,ge1600,~1800 rpm
"[0, 10)",3,1,9.5,36.575,6434.400000000001,175.92344497607655,False,lt1600,~1400 rpm
"[10, 20)",112,2,14.969999999999999,57.6345,9777.6,172.68882709310137,True,lt1600,~1400 rpm
"[20, 30)",223,2,22.5,86.625,15271.199999999999,177.16363636363636,True,lt1600,~1400 rpm
"[30, 40)",6,2,34.25,131.8625,23956.8,180.56680765432557,False,lt1600,~1400 rpm
"[40, 50)",780,2,47.635000000000005,183.39475,33243.0,180.88421052631583,True,lt1600,~1400 rpm
"[50, 60)",78,2,50.5,194.425,35162.399999999994,181.29045958488064,True,lt1600,~1400 rpm
