"DateTime","Latitude","Longitude","Electric Power System > Energy Storage Main > 1 > Battery Space > Power","Electric Power System > Energy Storage Main > 1 > Battery Space > State of Charge","Electric Power System > Energy Storage Main > 1 > Battery Space > Voltage","Electric Power System > Generator Set > 1 > Engine > Fuel Rate","Electric Power System > Generator Set > 1 > Engine > Fuel used Total","Electric Power System > Generator Set > 1 > Engine > Hours","Electric Power System > Generator Set > 1 > Engine > Load percentage","Electric Power System > Generator Set > 1 > Engine > Speed","Electric Power System > Generator Set > 1 > Engine > Torque percentage","Electric Power System > Generator Set > 2 > Engine > Fuel Rate","Electric Power System > Generator Set > 2 > Engine > Fuel used Total","Electric Power System > Generator Set > 2 > Engine > Hours","Electric Power System > Generator Set > 2 > Engine > Load percentage","Electric Power System > Generator Set > 2 > Engine > Speed","Electric Power System > Generator Set > 2 > Engine > Torque percentage","Propulsion and Steering > Propulsion Main Electric > Port > Inverter > Power","Propulsion and Steering > Propulsion Main Electric > Starboard > Inverter > Power","Propulsion and Steering > Thruster Electric > Port Aft > Inverter > Power","Propulsion and Steering > Thruster Electric > Port Forward > Inverter > Power"
"2026-01-14 04:00:00",60.50852,4.93199,26.05,80,725.41,,,,,,,,,,,,,,,,
"2026-01-14 04:01:00",60.50852,4.93198,19.81,,725.57,,,,,,,,,373,,,,,,,
"2026-01-14 04:02:00",60.50852,4.93197,20.94,,725.32,,,,,,,0,,,0,,0,,,,
"2026-01-14 04:03:00",60.50852,4.93198,21.29,,725.07,,,,,,,,,,,0,,0,,,
"2026-01-14 04:04:00",60.50853,4.93199,26.5,,724.91,0,14020,278,0,0,0,,19400,,,,,,0,0,0
"2026-01-14 04:05:00",60.50853,4.93199,24.2,80,724.65,,,,,,,,,,,,,,,,
"2026-01-14 04:06:00",60.50852,4.93198,19.82,80.1,724.83,,,,,,,,,373,,,,,,,
"2026-01-14 04:07:00",60.50853,4.93199,19.53,,724.63,,,,,,,,,,,,,,,,
"2026-01-14 04:08:00",60.50853,4.93199,22.51,,724.37,,,,,,,0,,,0,0,0,,,,
"2026-01-14 04:09:00",60.50852,4.93199,24.96,,724.06,0,14020,278,0,0,0,,19400,,,,,0,0,0,0
"2026-01-14 04:10:00",60.50852,4.93199,19.49,80,724.21,,,,,,,,,,,,,,,,
"2026-01-14 04:11:00",60.50852,4.93199,19.22,,724.09,,,,,,,,,373,,,,,,,
