"DateTime","Latitude","Longitude","Electric Power System > Energy Storage Main > 1 > Battery Space > Power","Electric Power System > Energy Storage Main > 1 > Battery Space > State of Charge","Electric Power System > Energy Storage Main > 1 > Battery Space > Voltage","Electric Power System > Generator Set > 1 > Engine > Fuel Rate","Electric Power System > Generator Set > 1 > Engine > Fuel used Total","Electric Power System > Generator Set > 1 > Engine > Hours","Electric Power System > Generator Set > 1 > Engine > Load percentage","Electric Power System > Generator Set > 1 > Engine > Speed","Electric Power System > Generator Set > 1 > Engine > Torque percentage","Electric Power System > Generator Set > 2 > Engine > Fuel Rate","Electric Power System > Generator Set > 2 > Engine > Fuel used Total","Electric Power System > Generator Set > 2 > Engine > Hours","Electric Power System > Generator Set > 2 > Engine > Load percentage","Electric Power System > Generator Set > 2 > Engine > Speed","Electric Power System > Generator Set > 2 > Engine > Torque percentage","Propulsion and Steering > Propulsion Main Electric > Port > Inverter > Power","Propulsion and Steering > Propulsion Main Electric > Starboard > Inverter > Power","Propulsion and Steering > Thruster Electric > Port Aft > Inverter > Power","Propulsion and Steering > Thruster Electric > Port Forward > Inverter > Power"
"2026-03-04 05:00:00",60.51048,4.93219,28.33,38.6,649.56,0,,,0,0,0,,21306,412,,,,,0,0,
"2026-03-04 05:01:00",60.51049,4.93219,27.54,,649.41,,,,,,,,,,,,,,,,0
"2026-03-04 05:02:00",60.51048,4.93218,27.35,38.5,649.44,,25925,490,,,,,,,,,,0,,,
"2026-03-04 05:03:00",60.51048,4.93219,28.33,,649.36,,,,,,,0,,,0,0,0,,,,
"2026-03-04 05:04:00",60.51048,4.93219,27.69,38.4,649.35,,,,,,,,,,,,,,,,
"2026-03-04 05:05:00",60.51048,4.93219,28.26,,649.38,0,,,0,0,0,,21306,412,,,,,0,0,
"2026-03-04 05:06:00",60.51048,4.93218,27.82,38.3,649.1,,,,,,,,,,,,,,,,0
"2026-03-04 05:07:00",60.51048,4.93218,28.41,,649.09,,25925,490,,,,,,,,,,0,,,
"2026-03-04 05:08:00",60.51048,4.93218,30.64,38.2,649.01,,,,,,,,,,,,,,,,
"2026-03-04 05:09:00",60.51048,4.93218,31.03,,648.6,,,,,,,0,,,0,0,0,,,,
"2026-03-04 05:10:00",60.51049,4.93218,31.77,38.1,648.73,0,,,0,0,0,,21306,412,,,,,0,0,
"2026-03-04 05:11:00",60.51048,4.93217,32.4,,648.56,,,,,,,,,,,,,,,,0
"2026-03-04 05:12:00",60.51048,4.93218,33.01,38,648.55,,25925,490,,,,,,,,,,0,,,
"2026-03-04 05:13:00",60.51048,4.93218,32.72,37.9,648.24,,,,,,,,,,,,,,,,
"2026-03-04 05:14:00",60.51048,4.93218,32.09,,648.19,,,,,,,0,,,0,0,0,,,,
"2026-03-04 05:15:00",60.51048,4.93218,29.01,37.8,648.32,0,,,0,0,0,,21306,412,,,,,0,0,
"2026-03-04 05:16:00",60.51048,4.93218,28.64,,648.27,,,,,,,,,,,,,,,,0
"2026-03-04 05:17:00",60.51049,4.93218,29.78,37.7,648.28,,25925,490,,,,,,,,,,0,,,
"2026-03-04 05:18:00",60.51047,4.93217,30.28,,648.06,,,,,,,,,,,,,,,,
"2026-03-04 05:19:00",60.51048,4.93218,30.05,37.6,648.12,,,,,,,0,,,0,0,0,,,,
"2026-03-04 05:20:00",60.51048,4.93218,30.11,,647.81,0,,,0,0,0,,21306,412,,,,,0,,
"2026-03-04 05:21:00",60.51048,4.93218,29.59,37.5,647.81,,,,,,,,,,,,,,,0,0
"2026-03-04 05:22:00",60.51048,4.93218,30.59,37.4,647.7,,25925,490,,,,,,,,,,0,,,
"2026-03-04 05:23:00",60.51048,4.93218,30.16,,647.53,,,,,,,,,,,,,,,,
"2026-03-04 05:24:00",60.51048,4.93219,32.98,37.3,647.64,,,,,,,0,,,0,0,0,,,,
"2026-03-04 05:25:00",60.51048,4.93219,31.95,,647.29,0,,,0,0,0,,21306,412,,,,,0,,
"2026-03-04 05:26:00",60.51048,4.93218,32.75,37.2,647.26,,,,,,,,,,,,,,,0,0
"2026-03-04 05:27:00",60.51048,4.93219,32.19,37.1,647.18,,25925,490,,,,,,,,,,0,,,
"2026-03-04 05:28:00",60.51048,4.93219,30.84,,647.18,,,,,,,,,,,,,,,,
"2026-03-04 05:29:00",60.51048,4.93219,30.16,37,647.18,,,,,,,0,,,0,0,0,,,,
"2026-03-04 05:30:00",60.51048,4.93219,30.98,,646.83,0,,,0,0,0,,21306,412,,,,,0,,
"2026-03-04 05:31:00",60.51048,4.93219,31.72,36.9,646.89,,,,,,,,,,,,,,,0,0
"2026-03-04 05:32:00",60.51048,4.93219,31.99,36.8,646.81,,25925,490,,,,,,,,,,0,,,
"2026-03-04 05:33:00",60.51048,4.93218,31.79,,646.72,,,,,,,,,,,,,,,,
"2026-03-04 05:34:00",60.51047,4.93218,32.22,36.7,646.46,,,,,,,0,,,0,0,0,,,,
"2026-03-04 05:35:00",60.51048,4.93218,29.76,,646.61,0,,,0,0,0,,21306,412,,,,,,,
"2026-03-04 05:36:00",60.51048,4.93218,29.95,36.6,646.58,,,,,,,,,,,,,,0,0,0
"2026-03-04 05:37:00",60.51048,4.93218,30.46,,646.38,,,,,,,,,,,,,,,,
"2026-03-04 05:38:00",60.51047,4.93219,32.45,36.5,646.16,,25925,490,,,,,,,,,,0,,,
"2026-03-04 05:39:00",60.51048,4.93218,33.23,36.4,646.03,,,,,,,0,,,0,0,0,,,,
"2026-03-04 05:40:00",60.51048,4.93218,33.13,,646,0,,,0,0,0,,21306,412,,,,,,,
"2026-03-04 05:41:00",60.51047,4.93218,31.22,36.3,646.02,,,,,,,,,,,,,,0,0,0
"2026-03-04 05:42:00",60.51048,4.93219,30.68,,646.21,,,,,,,,,,,,,,,,
"2026-03-04 05:43:00",60.51047,4.93218,30.79,36.2,645.84,,25925,490,,,,,,,,,,0,,,
"2026-03-04 05:44:00",60.51048,4.93219,30.78,36.1,645.83,,,,,,,0,,,0,0,0,,,,
"2026-03-04 05:45:00",60.51047,4.93219,31.06,,645.82,0,,,0,0,0,,21306,412,,,,,,,
"2026-03-04 05:46:00",60.51048,4.93219,30.92,36,645.67,,,,,,,,,,,,,,0,0,0
"2026-03-04 05:47:00",60.51048,4.93219,31.09,,645.53,,,,,,,,,,,,,,,,
"2026-03-04 05:48:00",60.51048,4.93219,30.95,35.9,645.68,,25925,490,,,,,,,,,,0,,,
"2026-03-04 05:49:00",60.51048,4.93218,29.63,,645.62,,,,,,,0,,,0,0,0,,,,
"2026-03-04 05:50:00",60.51048,4.93219,30.82,35.8,645.21,0,,,0,0,0,,21306,412,,,,,,,
