"DateTime","Latitude","Longitude","Electric Power System > Energy Storage Main > 1 > Battery Space > Power","Electric Power System > Energy Storage Main > 1 > Battery Space > State of Charge","Electric Power System > Energy Storage Main > 1 > Battery Space > Voltage","Electric Power System > Generator Set > 1 > Engine > Fuel Rate","Electric Power System > Generator Set > 1 > Engine > Fuel used Total","Electric Power System > Generator Set > 1 > Engine > Hours","Electric Power System > Generator Set > 1 > Engine > Load percentage","Electric Power System > Generator Set > 1 > Engine > Speed","Electric Power System > Generator Set > 1 > Engine > Torque percentage","Electric Power System > Generator Set > 2 > Engine > Fuel Rate","Electric Power System > Generator Set > 2 > Engine > Fuel used Total","Electric Power System > Generator Set > 2 > Engine > Hours","Electric Power System > Generator Set > 2 > Engine > Load percentage","Electric Power System > Generator Set > 2 > Engine > Speed","Electric Power System > Generator Set > 2 > Engine > Torque percentage","Propulsion and Steering > Propulsion Main Electric > Port > Inverter > Power","Propulsion and Steering > Propulsion Main Electric > Starboard > Inverter > Power","Propulsion and Steering > Thruster Electric > Port Aft > Inverter > Power","Propulsion and Steering > Thruster Electric > Port Forward > Inverter > Power"
"2025-11-17 09:00:00",60.07002,5.34955,30.2,62.8,691.09,1.51,,,6.36,653.63,3.45,,,,,,,,,,
"2025-11-17 09:01:00",60.07002,5.34954,29.53,62.7,690.76,1.53,,,6.5,648.64,3.5,,,,,,,,,,
"2025-11-17 09:02:00",60.07001,5.34961,27.57,,690.36,1.25,,232,5.3,601.3,3.35,,,,,,,,0,,0
"2025-11-17 09:03:00",60.07,5.34965,29.16,62.6,689.94,,11199,,,,,,,,,,,,,,
"2025-11-17 09:04:00",60.06999,5.34965,32.18,,689.58,,,,,,,,,,,,,0,,0,
"2025-11-17 09:05:00",60.06999,5.34966,48.83,62.5,688.62,,,,,,,0,8604,198,0,0,0,,,,
"2025-11-17 09:06:00",60.06999,5.34965,97.68,62.35,685.63,,,,,,,,,,,,,,,,
"2025-11-17 09:07:00",60.07,5.34966,44.84,62.2,686.94,0,,232,0,,0,,,,,,,,0,,0
"2025-11-17 09:08:00",60.06999,5.34965,27.47,,688.04,,11199,,,0,,,,,,,,,,,
"2025-11-17 09:09:00",60.06999,5.34965,27.96,62.1,687.84,,,,,,,,,,,,,0,,0,
"2025-11-17 09:10:00",60.06999,5.34965,29.19,,687.71,,,,,,,0,8604,198,0,0,0,,,,
"2025-11-17 09:11:00",60.06999,5.34965,30.48,62,687.5,,,,,,,,,,,,,,,,
"2025-11-17 09:12:00",60.06999,5.34965,75.31,61.9,685.51,0,,232,0,,0,,,,,,,,0,,0
"2025-11-17 09:13:00",60.06999,5.34965,56.56,61.8,685.51,,11199,,,0,,,,,,,,,,,
"2025-11-17 09:14:00",60.06999,5.34964,32.9,,686.77,,,,,,,,,,,,,0,,0,
"2025-11-17 09:15:00",60.07,5.34965,64.48,61.65,685.16,,,,,,,0,8604,198,0,0,0,,,,
"2025-11-17 09:16:00",60.07,5.34965,52.99,61.5,684.97,,,,,,,,,,,,,,,,
"2025-11-17 09:17:00",60.06999,5.34965,51.38,61.4,685.06,0,,232,0,,0,,,,,,,,0,,0
"2025-11-17 09:18:00",60.06999,5.34964,43.2,,685.47,,11199,,,0,,,,,,,,,,,
"2025-11-17 09:19:00",60.06999,5.34964,60.65,61.3,684.45,,,,,,,,,,,,,0,,0,
"2025-11-17 09:20:00",60.06999,5.34964,28.42,61.2,685.6,,,,,,,0,8604,198,0,0,0,,,,
"2025-11-17 09:21:00",60.06999,5.34964,49.62,61.1,684.66,,,,,,,,,,,,,,,,
"2025-11-17 09:22:00",60.06999,5.34964,28.99,,685.54,,,232,,,,,,,,,,,0,,0
"2025-11-17 09:23:00",60.07,5.34964,76.58,60.95,683.73,0,11199,,0,0,0,,,,,,,,,,
"2025-11-17 09:24:00",60.07,5.34964,55.85,60.8,683.87,,,,,,,,,,,,,0,,0,
"2025-11-17 09:25:00",60.06999,5.34963,26.17,,684.99,,,,,,,0,8604,198,0,0,0,,,,
"2025-11-17 09:26:00",60.07,5.34964,49.03,60.7,684.01,,,,,,,,,,,,,,,,
"2025-11-17 09:27:00",60.07,5.34963,31.03,,684.64,,,232,,,,,,,,,,,0,,0
"2025-11-17 09:28:00",60.06999,5.34963,31.99,60.6,684.69,0,11199,,0,0,0,,,,,,,,,,
"2025-11-17 09:29:00",60.07,5.34962,30.36,,684.69,,,,,,,,,,,,,0,,0,
"2025-11-17 09:30:00",60.07,5.34963,66.95,60.45,682.93,,,,,,,0,8604,198,0,0,0,,,,
"2025-11-17 09:31:00",60.07,5.34963,45.08,,683.13,,,,,,,,,,,,,,,,
"2025-11-17 09:32:00",60.07,5.34962,31.88,60.3,683.99,,,232,,,,,,,,,,,0,,0
