DateTime,Latitude,Longitude,Electric Power System > Energy Storage Main > 1 > Battery Space > Power,Electric Power System > Energy Storage Main > 1 > Battery Space > State of Charge,Electric Power System > Generator Set > 1 > Engine > Fuel Rate,Electric Power System > Generator Set > 1 > Engine > Load percentage,Electric Power System > Generator Set > 1 > Engine > Speed,Electric Power System > Generator Set > 1 > Engine > Torque percentage,Electric Power System > Generator Set > 2 > Engine > Fuel Rate,Electric Power System > Generator Set > 2 > Engine > Load percentage,Electric Power System > Generator Set > 2 > Engine > Speed,Electric Power System > Generator Set > 2 > Engine > Torque percentage,Navigation and Communication > Navigation Data > Location Current > Speed Over Ground,Propulsion and Steering > Propulsion Main Electric > Port > Inverter > Power,Propulsion and Steering > Propulsion Main Electric > Starboard > Inverter > Power,Propulsion and Steering > Thruster Electric > Port Aft > Inverter > Power,Propulsion and Steering > Thruster Electric > Port Forward > Inverter > Power
2026-03-01 00:00:00,60.39704,5.31684,19.99,,,,,,,,,,,,,,
2026-03-01 00:01:00,60.39704,5.31686,18.49,,,,,,,,,,,,,,0.0
2026-03-01 00:02:00,60.39706,5.31684,18.06,60.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,
2026-03-01 00:03:00,60.39703,5.31683,21.29,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,
2026-03-01 00:04:00,60.39704,5.31685,21.76,,,,,,,,,,,0.0,,,
2026-03-01 00:05:00,60.39703,5.31686,22.31,,,,,,,,,,,,,,
2026-03-01 00:06:00,60.39705,5.31684,23.81,,,,,,,,,,,,,,0.0
2026-03-01 00:07:00,60.39706,5.31683,19.9,59.8,0.0,0.0,0.0,0.0,,,,,,,,,
2026-03-01 00:08:00,60.39707,5.31685,20.19,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2026-03-01 00:09:00,60.39705,5.31689,19.97,,,,,,,,,,,0.0,,,
2026-03-01 00:10:00,60.39702,5.31685,22.06,,,,,,,,,,,,,,
2026-03-01 00:11:00,60.39705,5.31685,22.1,,,,,,,,,,,,,,0.0
2026-03-01 00:12:00,60.39705,5.31685,22.26,59.6,0.0,0.0,0.0,0.0,,,,,,,,,
2026-03-01 00:13:00,60.39702,5.31688,22.09,,,,,,0.0,0.0,0.0,0.0,0.0,,,,
2026-03-01 00:14:00,60.39704,5.31683,20.87,,,,,,,,,,,0.0,0.0,0.0,
